Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.79112243652344,152.8957614430933,150.61274704618017,151.04081043121997,22622100
2020-01-03,150.8885955810547,152.1537709346399,150.3558932248189,150.6032296866788,21116200
2020-01-06,151.27862548828125,151.34522054495744,148.88145020381464,149.42367447085834,20813700
2020-01-07,149.8992919921875,151.88741845287856,149.65197004750095,151.55448674061407,21634100
2020-01-08,152.2869110107422,152.96231067171482,150.25121918695956,151.18344809297852,27746500
2020-01-09,154.189453125,154.31312134782266,153.18112165750648,153.95163855191004,21385000
2020-01-10,153.4759979248047,155.2643680254763,153.32379312580102,154.88387054301572,20725900
2020-01-13,155.3214569091797,155.34999349749867,153.39991104375198,153.87554020246824,21626500
2020-01-14,154.22755432128906,155.62590555974256,153.83753482973594,155.42613487636908,23477400
2020-01-15,155.22633361816406,155.9492992679197,154.64607994777714,154.69363125416567,21417900
2020-01-16,158.0706329345703,158.13722800089548,156.0349401998481,156.33934990581398,23865400
2020-01-17,158.95526123046875,159.30722214224815,157.36664716124207,159.25965632618494,34371700
2020-01-21,158.384521484375,159.99215048130927,158.31792643003993,158.5557410268633,29517200
2020-01-22,157.62351989746094,159.32628062584678,157.60449066453182,159.2406563351917,24138800
2020-01-23,158.59381103515625,158.66991345348552,157.21448917618713,158.0896452143955,19680800
2020-01-24,156.9956512451172,159.36428945346628,156.43441237534347,159.34526022473113,24918100
2020-01-27,154.3701934814453,155.4165834020012,152.39157450488025,153.29526697351514,32078100
2020-01-28,157.3952178955078,157.6805837973838,155.12171094857308,155.7970962697475,24899900
2020-01-29,159.84945678710938,160.52485664465172,157.61400823323692,159.65920800817042,34754500
2020-01-30,164.3584442138672,165.56654658590898,162.4654345533492,165.56654658590898,51597500
2020-01-31,161.93270874023438,163.99693766743874,161.3143966039244,163.81621076924645,36142700
2020-02-03,165.88047790527344,165.9946242914875,162.0944582585598,162.12299485511332,30107000
2020-02-04,171.3406524658203,171.83531088100904,167.7163604089728,168.50590659560362,36433300
2020-02-05,171.13137817382812,175.221792144728,169.71401246551764,175.0600799605943,39186300
2020-02-06,174.6795654296875,174.86030682822204,171.2835663478746,172.14921488030333,27751400
2020-02-07,174.92691040039062,176.5821052778127,173.58563254360297,173.937608029494,33529100
2020-02-10,179.50244140625,179.63561698994738,174.3180864847477,174.63200347097373,35844300
2020-02-11,175.4500732421875,181.4049446376646,174.55588816839932,181.35737882234736,53159900
2020-02-12,175.70693969726562,176.79137365715482,172.98634018174704,176.53452983335058,47062900
2020-02-13,174.75567626953125,177.15283683880781,173.95660823138869,174.1563788696869,35295800
2020-02-14,176.3157196044922,176.37279277616537,173.7473107588094,174.3180715056386,23149500
2020-02-18,178.1040802001953,178.5511727442133,176.4584074723489,176.56304646169457,27792200
2020-02-19,178.63829040527344,179.49675565565298,177.86566876899207,179.3822975035221,29997500
2020-02-20,175.91021728515625,178.60963297738593,172.743421214159,178.32347311107588,36862400
2020-02-21,170.3492431640625,175.0326824659516,169.0710788397271,174.7179080479234,48572600
2020-02-24,163.00457763671875,166.49569679653965,155.69803151876323,160.02854926687735,68311100
2020-02-25,160.31472778320312,166.77232817902157,159.91409509802313,166.16186037714314,68073300
2020-02-26,162.31777954101562,165.26519300844907,160.44822871342618,161.87901364573722,56206100
2020-02-27,150.88104248046875,159.32267991051899,150.69027405563045,155.78387978247017,93174900
2020-02-28,154.5343017578125,156.15586961350579,144.98620247898583,145.37728717616818,97012700
2020-03-02,164.81687927246094,164.94088529079474,154.82046595157254,157.68203581689798,71030800
2020-03-03,156.91896057128906,166.9249225999731,154.7727829950037,165.7802974702272,71677000
2020-03-04,162.6802520751953,162.8233247486236,157.9777312943237,160.71530973506168,49814400
2020-03-05,158.5977783203125,162.9855109811713,158.04453961541506,158.3879286544997,47817300
2020-03-06,154.11463928222656,155.58357224645644,148.8016502950517,155.10664388012614,72821100
2020-03-09,143.669921875,150.47092624155204,143.07853525345678,144.03239215514648,70419300
2020-03-10,153.49461364746094,153.59953846338823,145.53945250980186,150.86197447696378,65354400
2020-03-11,146.54100036621094,150.4231893253635,144.1754254179257,149.87949860861463,56371600
2020-03-12,132.643310546875,146.38838910499453,132.18546340559118,138.59538160235746,93226400
2020-03-13,151.5010223388672,154.43890196381807,134.2362146991924,140.69382696823536,92727400
2020-03-16,129.17123413085938,142.4584615765155,128.77061618263224,133.53989826347046,87905900
2020-03-17,139.8067626953125,140.69384230801745,128.7706353327617,133.539918122864,81059800
2020-03-18,133.9214630126953,139.26306588210693,128.78972431779513,131.63221295705998,81593200
2020-03-19,136.12489318847656,143.22157466077158,132.5860785020876,136.18212226051716,85922700
2020-03-20,131.01222229003906,140.31232502440062,129.59097058119917,139.26307684274727,84866200
2020-03-23,129.70541381835938,134.08362658703234,126.40507819849284,130.68788493248408,78975200
2020-03-24,141.4950714111328,142.69693993052886,134.75131344382464,137.11687351683517,82516700
2020-03-25,140.14064025878906,147.2087226877982,137.77507945408,142.03882054333977,75638200
2020-03-26,148.90658569335938,149.43120984452187,141.52372881853543,141.55234335817158,64568100
2020-03-27,142.7923126220703,147.7428300985591,142.3153843804771,144.74772132354147,57042300
2020-03-30,152.83644104003906,153.1893778840761,143.08802528988713,145.40590442813732,63420300
2020-03-31,150.43275451660156,157.17651417379767,149.3358105207715,152.04476019890492,77927200
2020-04-01,145.09112548828125,150.4708760366592,143.86065689971826,145.94005726534934,57969900
2020-04-02,148.09579467773438,148.3056443284032,143.42190239581785,144.85268752963302,49630700
2020-04-03,146.73175048828125,150.11794405145397,145.1674263747893,147.94315234622604,41243300
2020-04-06,157.64385986328125,158.81709922367324,150.30870142023556,152.92227333784066,67111700
2020-04-07,155.946044921875,162.15564710973868,155.7266473905198,161.76456235005216,62769000
2020-04-08,157.51036071777344,158.9792936241454,155.95556964727277,158.02543692905505,48318200
2020-04-09,157.5198974609375,159.64699386180075,155.79341913413606,158.6836038185592,51385100
2020-04-13,157.87283325195312,157.93007688572814,154.81096108382366,156.76637042886347,41905300
2020-04-14,165.6848602294922,165.73255596229066,160.2478814484307,161.20173788562371,52874300
2020-04-15,163.94891357421875,165.56093391594052,161.4307321716492,163.30028337333727,40940800
2020-04-16,168.8707733154297,169.09970414895645,164.92180740395108,166.2572154341446,50479600
2020-04-17,170.3588104248047,171.69420396711413,167.7547711852542,171.21727562276104,52765600
2020-04-20,166.9821014404297,170.5018339354567,166.91533905991673,168.47966299607387,36669600
2020-04-21,160.07626342773438,165.65631726303855,158.44516181144516,165.49416334522977,56203700
2020-04-22,165.51319885253906,165.97104593843355,162.93778898167508,163.48147966716917,34620200
2020-04-23,163.51014709472656,166.98218560822338,163.02368531826534,166.07602446946564,32790800
2020-04-24,166.49569702148438,166.50523034920104,162.83289062985418,164.1205884971451,34277600
2020-04-27,166.01873779296875,168.73722026620558,165.30334537032283,168.44152706026333,33194400
2020-04-28,161.9744110107422,167.56401210037632,161.57379292571434,167.48770181446167,34392700
2020-04-29,169.2427978515625,169.48126204143713,163.94890448010514,165.22706904470533,51286600
